Date,Forecast,Lower_95,Upper_95
2018-09-01,268.0637039911289,254.12893077873812,282.7625692881387
2018-09-02,267.8429041113975,247.63071340360602,289.70486050290805
2018-09-03,267.7639101391463,243.09908947536596,294.931222193122
2018-09-04,267.5182011732884,239.41244932556143,298.92341923152895
2018-09-05,267.72793083682825,236.7841501666183,302.7155529613428
2018-09-06,267.6253257958379,234.13215826775036,305.9097713754509
2018-09-07,267.91475667345344,232.10333209802724,309.2515570309895
2018-09-08,268.15911931329913,230.05208556374578,312.57840195045156
2018-09-09,268.3653992638739,228.00307003831014,315.8728850008787
2018-09-10,268.53950861507235,225.97361370411681,319.1233989896173
2018-09-11,268.68644826055885,223.97565698868888,322.3225615206915
2018-09-12,268.81044641869346,222.0171986866634,325.4660293493645
2018-09-13,268.91507665341015,220.10336410283992,328.5516273059836
2018-09-14,269.00335826457973,218.23719074112765,331.5787126469128
2018-09-15,269.07784156525645,216.42020594731645,334.547712421281
2018-09-16,269.1406802385681,214.65285207564986,337.45978708799254
2018-09-17,269.19369267337436,212.9347999173429,340.31658612522097
2018-09-18,269.2384139159622,211.26518005040452,343.1200707598299
2018-09-19,269.2761396440443,209.6427536871983,345.87238579106
2018-09-20,269.30796336722216,208.06603875467414,348.5757674202454
2018-09-21,269.3348078824391,206.53340272941116,351.2324775480021
2018-09-22,269.35745186110614,205.04313070556734,353.844757556358
2018-09-23,269.3765523138774,203.59347496527513,356.4147964412297
2018-09-24,269.3926635669238,202.18269071031727,358.9447095036531
2018-09-25,269.4062532876432,200.80906143258818,361.4365247897483
2018-09-26,269.41771601589153,199.47091652948382,363.8921751908161
2018-09-27,269.4273845870991,198.16664312406365,366.3134946480292
2018-09-28,269.4355397743495,196.89469356797272,368.7022173019273
2018-09-29,269.4424184261444,195.65358974411046,371.0599787219844
2018-09-30,269.44822033386345,194.44192501440742,373.3883185722763
