Date,"Manual Grid Search ARIMA(1, 1, 7)","Manual Intuition ARIMA(3, 1, 3)","Auto ARIMA(3, 1, 5)"
2018-09-01,268.05580988049815,268.15480633716953,268.28843642965603
2018-09-02,267.8155708411452,268.0968949746194,268.3086045976144
2018-09-03,267.7332397218987,267.82467172813097,268.18146907224747
2018-09-04,267.46955243614303,267.80322107373036,267.9924183747707
2018-09-05,267.69034548686693,267.8056751911699,268.13460721638666
2018-09-06,267.5808522927682,267.81053882028203,268.15027848038335
2018-09-07,267.87278027929256,267.81107412787657,268.3945937662989
2018-09-08,268.11589956462166,267.81101244402686,268.4724628573666
2018-09-09,268.31833671104835,267.81092347623235,268.71084728573726
2018-09-10,268.48687569323243,267.81091142240666,268.77144031013694
2018-09-11,268.62717647107814,267.8109127426168,268.95497121743216
2018-09-12,268.74395898480054,267.81091439721143,268.97057202502293
2018-09-13,268.8411577258874,267.81091465522263,269.0918099490868
2018-09-14,268.92205137162176,267.8109146291154,269.0659093387863
2018-09-15,268.98937135604507,267.81091459799023,269.1384315797712
2018-09-16,269.0453926964031,267.8109145926214,269.087109505036
2018-09-17,269.09200990380435,267.8109145931133,269.1299488715105
2018-09-18,269.13080037832617,267.81091459370316,269.06977083604886
2018-09-19,269.1630773179964,267.8109145938131,269.09879948763574
2018-09-20,269.1899338526324,267.81091459380406,269.04131412504154
2018-09-21,269.21227984167064,267.81091459379286,269.06635732407534
2018-09-22,269.2308725441557,267.8109145937907,269.0172050602635
2018-09-23,269.24634217356885,267.810914593791,269.04258097652513
2018-09-24,269.25921318523257,267.8109145937912,269.00291530865235
2018-09-25,269.26992200519527,267.8109145937912,269.0293301571825
2018-09-26,269.2788317928846,267.8109145937912,268.9978283178305
2018-09-27,269.2862447320347,267.8109145937912,269.02429759042485
2018-09-28,269.29241226249854,267.8109145937912,268.9988196039142
2018-09-29,269.29754359705925,267.8109145937912,269.0240193327393
2018-09-30,269.30181281011187,267.8109145937912,269.00260598173304
